feature,coef_standardized
value_in,489123.89776084723
tons_in,-367318.2426377698
tons_out,230714.3147126881
tmiles_in,132212.77776685165
prcp95_mm,61238.49562173699
prcp_mean_mm,-54660.75017193795
prcp_total_mm,50495.08844293789
heavy_rain_days,-43812.266403143956
tmiles_out,-30980.270381094662
cold_days,-13066.642489715934
very_heavy_rain_days,-10061.917837085093
tavg_std_c,6970.627254003104
n_days,-6289.371636848564
hot_days,4280.989440401593
tavg_mean_c,-3433.341538403218
